2026-02-26 00:33:24,493 | INFO | app | All models load attempt completed.
2026-02-26 01:06:37,066 | INFO | app | Model loaded: SwitzerlandCHF
2026-02-26 01:06:37,446 | INFO | app | Model loaded: IndiaINR
2026-02-26 01:06:37,449 | INFO | app | Model loaded: ChinaCNY
2026-02-26 01:06:37,806 | INFO | app | Model loaded: TurkeyTRY
2026-02-26 01:06:37,809 | INFO | app | Model loaded: Saudi_ArabiaSAR
2026-02-26 01:06:39,097 | INFO | app | Model loaded: IndonesiaIDR
2026-02-26 01:06:39,133 | INFO | app | Model loaded: United_Arab_EmiratesAED
2026-02-26 01:06:39,164 | INFO | app | Model loaded: ThailandTHB
2026-02-26 01:06:39,183 | INFO | app | Model loaded: VietnamVND
2026-02-26 01:06:40,766 | INFO | app | Model loaded: EgyptEGP
2026-02-26 01:06:40,770 | INFO | app | Model loaded: South_KoreanKRW
2026-02-26 01:06:40,777 | INFO | app | Model loaded: AustraliaAUD
2026-02-26 01:06:41,286 | INFO | app | Model loaded: South_AfricaZAR
2026-02-26 01:06:41,287 | INFO | app | ✅ All models loaded!
2026-02-26 01:06:41,412 | WARNING | werkzeug |  * Debugger is active!
2026-02-26 01:06:41,451 | INFO | werkzeug |  * Debugger PIN: 455-415-738
2026-02-26 01:06:42,969 | INFO | werkzeug | 127.0.0.1 - - [26/Feb/2026 01:06:42] "POST /gold HTTP/1.1" 200 -
2026-02-26 01:06:44,468 | INFO | werkzeug |  * Detected change in 'C:\\Users\\dell\\Desktop\\Rohit\\CODES\\gold\\app.py', reloading
2026-02-26 01:06:46,691 | INFO | werkzeug |  * Restarting with stat
2026-02-26 01:06:53,378 | INFO | app | Model loaded: United_StatesUSD
2026-02-26 01:06:53,689 | INFO | app | Model loaded: EuropeEUR
2026-02-26 01:06:53,940 | INFO | app | Model loaded: JapanJPY
2026-02-26 01:06:53,979 | INFO | app | Model loaded: United_KingdomGBP
2026-02-26 01:06:54,349 | INFO | app | Model loaded: CanadaCAD
2026-02-26 01:06:54,352 | INFO | app | Model loaded: SwitzerlandCHF
2026-02-26 01:06:54,620 | INFO | app | Model loaded: IndiaINR
2026-02-26 01:06:54,622 | INFO | app | Model loaded: ChinaCNY
2026-02-26 01:06:54,849 | INFO | app | Model loaded: TurkeyTRY
2026-02-26 01:06:54,851 | INFO | app | Model loaded: Saudi_ArabiaSAR
2026-02-26 01:06:55,011 | INFO | app | Model loaded: IndonesiaIDR
2026-02-26 01:06:55,013 | INFO | app | Model loaded: United_Arab_EmiratesAED
2026-02-26 01:06:55,014 | INFO | app | Model loaded: ThailandTHB
2026-02-26 01:06:55,015 | INFO | app | Model loaded: VietnamVND
2026-02-26 01:06:55,175 | INFO | app | Model loaded: EgyptEGP
2026-02-26 01:06:55,176 | INFO | app | Model loaded: South_KoreanKRW
2026-02-26 01:06:55,179 | INFO | app | Model loaded: AustraliaAUD
2026-02-26 01:06:55,352 | INFO | app | Model loaded: South_AfricaZAR
2026-02-26 01:06:55,353 | INFO | app | ✅ All models loaded!
2026-02-26 01:06:55,369 | WARNING | werkzeug |  * Debugger is active!
2026-02-26 01:06:55,377 | INFO | werkzeug |  * Debugger PIN: 455-415-738
2026-02-26 01:07:06,222 | INFO | werkzeug | 127.0.0.1 - - [26/Feb/2026 01:07:06] "GET /gold HTTP/1.1" 200 -
2026-02-26 01:07:14,931 | INFO | werkzeug | 127.0.0.1 - - [26/Feb/2026 01:07:14] "POST /gold HTTP/1.1" 200 -
